DATE,PATH,TARGET,PC1,PC2,EYF3,EYF6,EYF9,EYF12,JGBF,flag_30min
2002/4/1,-9.78E-05,9.76E-06,0.140505591,-0.075542652,0,0,0,-0.000166667,0.000390477,1
2002/5/1,-0.002839479,0.00028343,0.138041431,0.050675158,0,0,0,-0.00483871,-0.010436685,1
2002/6/1,-0.002347303,0.000234302,0.122628239,0.037044125,0,0,0,-0.004,-0.004410474,1
2002/7/1,-0.00207956,-0.002338684,0.056416965,-0.028470589,-0.002580645,-0.002580645,-0.002580645,-0.006129032,-0.007500481,1
2002/8/1,0.001422294,-0.002529089,0.057615789,-0.182886288,-0.002419355,-0.002419355,-0.002419355,0,-0.000468921,1
2002/9/1,0,0,0.074497407,-0.042414217,0,0,0,0,0.000105643,1
2002/10/1,0.001929993,-0.000329176,0.162942486,-0.185512957,0,-0.000322581,0,0.003064516,-0.008186944,1
2002/11/1,0.000333385,-0.003142042,0.064409404,-0.162978487,-0.002,-0.004833333,0,-0.005166667,-0.003877317,1
2002/12/1,0.002022824,-0.005503999,-0.061261521,-0.246746672,-0.007903226,-0.002419355,-0.002419355,-0.005483871,0.00220818,1
2003/1/1,0.001799716,-0.004097653,-0.037916999,-0.200403398,-0.00516129,-0.002580645,-0.002580645,-0.002580645,-0.000579706,1
2003/2/1,0,0,0.136831972,-0.077903665,0,0,0,0,-0.003762303,1
2003/3/1,0,0,0.171653012,-0.097728612,0,0,0,0,0.002935836,1
2003/4/1,0,0,0.18446977,-0.105025681,0,0,0,0,0.011102316,1
2003/5/1,0,0,0.171653012,-0.097728612,0,0,0,0,-0.004356107,1
2003/6/1,0,0,0.159637301,-0.090887609,0,0,0,0,-0.002052053,1
2003/7/1,0,0,0.181952192,-0.103592328,0,0,0,0,-0.007134755,1
2003/8/1,0,0,0.130456289,-0.074273745,0,0,0,0,-0.000745701,1
2003/9/1,-0.01092058,-0.005259846,-0.311136286,0.447308428,-0.006333333,-0.006333333,-0.0095,-0.022166667,-0.010858356,1
2003/10/1,-0.012668593,-0.006230796,-0.352813081,0.509668667,-0.007419355,-0.007419355,-0.012903226,-0.024193548,-0.017264375,1
2003/11/1,-0.003694331,-0.000273159,0.096123723,0.090510731,0.000166667,-0.0015,-0.003,-0.0045,-0.003676506,1
2003/12/1,-0.002358551,0.002035845,0.16363138,0.078571989,0.003387097,0,0,0,0.006706989,1
2004/1/1,-0.004407221,0.000378208,0.027459097,0.182799432,0,0,-0.001935484,-0.005806452,0.000605117,1
2004/2/1,-0.007459349,0.000640128,0.065741881,0.298424097,0,0,-0.003275862,-0.009827586,-0.004198987,1
2004/3/1,0.001514389,-0.000151163,0.189808059,-0.177007594,0,0,0,0.002580645,-0.001416341,1
2004/4/1,-0.00068463,6.83E-05,0.1321402,-0.04406465,0,0,0,-0.001166667,-0.004254842,1
2004/5/1,-0.002199587,0.001248369,0.176995585,0.036143356,0.001935484,0,0,-0.001451613,0.000898764,1
2004/6/1,0.002317299,0.002697489,0.292726426,-0.167458471,0.003166667,0.002666667,0.003666667,0.006333333,-0.001828718,1
2004/7/1,0.009685037,-0.001366022,0.325038766,-0.640242088,-0.003064516,0.002419355,0.006451613,0.008870968,0.007541335,1
